n,opt_cut_mean,opt_cut_std,rand_cut_mean,rand_cut_std,local_cut_mean,local_cut_std,qaoa_best_cut_mean,qaoa_best_cut_std,qc_best_cut_mean,qc_best_cut_std,rand_time_mean,rand_time_std,local_time_mean,local_time_std,qaoa_total_time_mean,qaoa_total_time_std,qc_total_time_mean,qc_total_time_std,qc_run_time_mean,qc_run_time_std,opt_time_mean,opt_time_std,count,opt_cut_sem,rand_cut_sem,local_cut_sem,qaoa_best_cut_sem,qc_best_cut_sem,rand_time_sem,local_time_sem,qaoa_total_time_sem,qc_total_time_sem,qc_run_time_sem,opt_time_sem
3,11.2,15.056560032092323,11.2,15.056560032092323,7.8,9.808159868191384,11.2,15.056560032092323,14.0,,0.07173981666564941,0.022652414840491332,0.000125885009765625,9.009762080008856e-05,0.4437395095825195,0.18084362559148534,4.987680853088379,,2.729608,,0.0004956722259521484,0.00040262887691379406,5,6.7334983478129695,6.7334983478129695,4.386342439892262,6.7334983478129695,0.0,0.010130467887572735,4.0292880943999396e-05,0.08087572802401637,0.0,0.0,0.00018006110769672783
6,54.0,27.640549922170507,54.0,27.640549922170507,42.6,16.772000476985447,49.8,24.066574330386118,20.0,,0.09710459709167481,0.02410934479507342,0.0001129150390625,3.7192763422518384e-05,0.43352560997009276,0.09403018693201842,3.819868240814209,,2.04448,,0.0016358375549316406,0.0007767754767168094,5,12.361229712289955,12.361229712289955,7.500666637039671,10.762899237658967,0.0,0.01078202677095298,1.6633109456763767e-05,0.04205157798340112,0.0,0.0,0.00034738455383871817
9,77.6,14.363147287415803,77.6,14.363147287415803,55.0,7.14142842854285,77.6,14.363147287415803,59.0,,0.10050897598266602,0.027380648784810516,0.00014815330505371093,4.7938915654708605e-05,0.4503605842590332,0.051437667277729804,6.98939461529541,,2.050528,,0.015394115447998047,0.004578441079817174,5,6.423394741100688,6.423394741100688,3.1937438845342623,6.423394741100688,0.0,0.012244998390176664,2.1438934834311453e-05,0.023003624127404077,0.0,0.0,0.002047541097089748
12,179.8,31.491268631161876,178.8,29.81107176872378,117.4,15.630099167951556,179.4,31.690692639953458,108.0,,0.10653414726257324,0.014168599598685067,0.0002189159393310547,2.9871098314957814e-05,0.6024624347686768,0.11407282930300337,4.5645643786621095,,2.08767,,0.15109024047851563,0.02281955762765219,5,14.083323471396941,13.331916591398253,6.989992846920516,14.17250859939764,0.0,0.00633639036972721,1.3358761278965019e-05,0.051014920141449094,0.0,0.0,0.010205216414380826
15,275.6,38.565528649300276,269.6,40.7345062569807,194.6,43.258525171346285,266.8,36.67015134956495,191.0,,0.21856837272644042,0.06437290610140613,0.0010063648223876953,0.0007200720475829623,1.099043083190918,0.36704661148540596,10.804920829055787,,2.033523,,2.851582908630371,1.202087352163332,5,17.24702872961021,18.217025004099874,19.345800577903205,16.399390232566574,0.0,0.028788438790391013,0.00032202600941859334,0.16414823483846455,0.0,0.0,0.5375898068659878
18,362.4,71.31830059669117,336.2,49.731277884245046,265.2,58.264054098560635,340.6,51.60717004448122,165.0,,0.17707376480102538,0.011531801408616496,0.0008031368255615234,0.00033438274142081416,1.2985286712646484,0.2721766982424393,4.458413829864502,,2.044389,,21.184369707107543,1.6600074825208555,5,31.894513634793054,22.240503591420765,26.05647712182136,23.07942806917017,0.0,0.005157178370538863,0.000149540508063935,0.12172111983230835,0.0,0.0,0.7423779148149854
21,,,505.8,31.562636138320258,430.8,49.12942092066626,510.0,34.022051672408,390.0,,0.21769313812255858,0.02920533736598995,0.0011348724365234375,0.0005741798807810169,2.274897003173828,0.17254386883517442,5.735011679626465,,2.106526,,,,5,0.0,14.115239990875109,21.97134497476201,15.215124054702937,0.0,0.013061023931233637,0.0002567810489478157,0.0771639639632515,0.0,0.0,0.0
24,,,570.2,86.61524115304418,489.0,69.52697318307479,561.2,85.98662686720533,372.0,,0.35234737396240234,0.07019246549085968,0.002151775360107422,0.0002195966097459142,8.26097354888916,0.48329491706951894,5.380951182144165,,2.093668,,,,5,0.0,38.73551342114881,31.09340766143203,38.45438856619618,0.0,0.031391024869174076,9.82065894040714e-05,0.21613605754951354,0.0,0.0,0.0
27,,,710.4,38.849710423631215,588.8,61.77539963448234,718.2,22.509997778764884,535.0,,0.7113988399505615,0.5416747511551057,0.005080747604370117,0.004502639844401331,81.04873538017273,13.909864082264564,8.17658847468567,,2.107032,,,,5,0.0,17.37411868268431,27.626798583983632,10.06677704133751,0.0,0.24224431305561978,0.00201364175405609,6.220680329145258,0.0,0.0,0.0
30,,,895.4,68.51496186965296,796.4,102.34402767137907,,,744.0,,0.4494194507598877,0.13054563457122711,0.0044708728790283205,0.0009736944336360877,,,5.406118344467163,,2.180443,,,,5,0.0,30.64082244327002,45.76964059286462,0.0,0.0,0.058381782613422084,0.00043544938858468995,0.0,0.0,0.0,0.0
