n,g,rand_cut,rand_time,local_cut,local_time,opt_cut,opt_time,qaoa_gamma,qaoa_beta,qaoa_analytic_val,qaoa_opt_time,qaoa_sampled_expectation,qaoa_best_cut,qaoa_counts,qaoa_sim_time,qaoa_total_time,qaoa_shots,qc_job,qc_prep_time,qc_run_time,qc_best_cut,qc_total_time,repeat,qc_entropy_bits
3,<lib.graphlib.GraphLib object at 0x0000015262B8E530>,33,0.04742145538330078,19,0.000286102294921875,33.0,0.001201629638671875,1.0471498147995668,0.39267204956884466,27.217064284759786,0.14445233345031738,15.924072265625,33.0,,0.584726095199585,0.7291784286499023,4096.0,"<RuntimeJobV2('d45sc29me48c73d7ifpg', 'sampler')>",2.258072853088379,2.729608,14,4.987680853088379,0,2.8562454605034917
3,<lib.graphlib.GraphLib object at 0x00000152609BA1C0>,0,0.04678535461425781,0,7.62939453125e-05,0.0,0.00023484230041503906,1.0,0.0,0.0,0.026508092880249023,0.0,0.0,,0.38961219787597656,0.4161202907562256,4096.0,,,,,,1,
3,<lib.graphlib.GraphLib object at 0x000001524B6F44B0>,21,0.0923306941986084,18,9.632110595703125e-05,21.0,0.0003058910369873047,1.047182443583681,0.39272899999337973,17.31995000440933,0.09522867202758789,10.660400390625,21.0,,0.39444923400878906,0.48967790603637695,4096.0,,,,,,2,
3,<lib.graphlib.GraphLib object at 0x0000015257686300>,0,0.08483409881591797,0,9.489059448242188e-05,0.0,0.000286102294921875,1.0,0.0,0.0,0.019145965576171875,0.0,0.0,,0.2597792148590088,0.27892518043518066,4096.0,,,,,,3,
3,<lib.graphlib.GraphLib object at 0x000001525534E4E0>,2,0.08732748031616211,2,7.581710815429688e-05,2.0,0.00044989585876464844,1.5707963267948966,0.39269908169872414,2.0,0.05465555191040039,1.02734375,2.0,,0.2501401901245117,0.3047957420349121,4096.0,,,,,,4,
6,<lib.graphlib.GraphLib object at 0x000001524B6E43C0>,39,0.09974074363708496,39,0.00010156631469726562,39.0,0.0011134147644042969,1.047113572493733,0.3926983168647523,32.165621440963385,0.07802867889404297,19.512939453125,39.0,,0.25964832305908203,0.337677001953125,4096.0,"<RuntimeJobV2('d45sc3pme48c73d7ifrg', 'sampler')>",1.775388240814209,2.04448,20,3.819868240814209,0,5.862813477468295
6,<lib.graphlib.GraphLib object at 0x000001524B6EADF0>,57,0.054952144622802734,57,0.00010251998901367188,57.0,0.0011985301971435547,0.7835995444612448,0.39272338913779437,42.305983038219,0.08845806121826172,33.168701171875,57.0,,0.2570154666900635,0.3454735279083252,4096.0,,,,,,1,
6,<lib.graphlib.GraphLib object at 0x00000152608F4D70>,79,0.11369681358337402,50,0.00017762184143066406,79.0,0.0018477439880371094,0.5926930157628116,0.33126402317632897,57.731318668300396,0.11171674728393555,45.818359375,79.0,,0.3295624256134033,0.44127917289733887,4096.0,,,,,,2,
6,<lib.graphlib.GraphLib object at 0x000001524B6E6170>,15,0.1098325252532959,15,0.0001010894775390625,15.0,0.002911090850830078,1.5707963267948966,0.39269908169872414,15.0,0.07056236267089844,7.40478515625,15.0,,0.4132707118988037,0.48383307456970215,4096.0,,,,,,3,
6,<lib.graphlib.GraphLib object at 0x0000015260CBE850>,80,0.1073007583618164,52,8.177757263183594e-05,80.0,0.001108407974243164,0.7853981633974483,0.39269908169872414,60.0,0.19470930099487305,40.8271484375,59.0,,0.3646559715270996,0.5593652725219727,4096.0,,,,,,4,
9,<lib.graphlib.GraphLib object at 0x000001524B6E7E80>,91,0.12636184692382812,58,0.00010132789611816406,91.0,0.022289514541625977,0.7613619289534408,0.3927103857748005,66.81739822680875,0.15201091766357422,48.687255859375,91.0,,0.36745405197143555,0.5194649696350098,4096.0,"<RuntimeJobV2('d45sc66jf4ms73ap4000', 'sampler')>",4.93886661529541,2.050528,59,6.98939461529541,0,7.972983897821374
9,<lib.graphlib.GraphLib object at 0x0000015249105680>,62,0.05423545837402344,56,0.00010204315185546875,62.0,0.010973691940307617,0.8908773072293393,0.39271895485717073,47.698490772849894,0.1241450309753418,25.205322265625,62.0,,0.2804083824157715,0.4045534133911133,4096.0,,,,,,1,
9,<lib.graphlib.GraphLib object at 0x0000015260975DB0>,87,0.10794639587402344,43,0.00014519691467285156,87.0,0.011554956436157227,0.7929261402394995,0.39265170971889796,62.22266004120311,0.18112778663635254,47.524169921875,87.0,,0.2921597957611084,0.47328758239746094,4096.0,,,,,,2,
9,<lib.graphlib.GraphLib object at 0x0000015256F29A90>,86,0.11198019981384277,56,0.00018453598022460938,86.0,0.015337228775024414,0.5686383506820185,0.3523518872521885,61.17239656311591,0.14677882194519043,50.298828125,86.0,,0.31299376487731934,0.45977258682250977,4096.0,,,,,,3,
9,<lib.graphlib.GraphLib object at 0x0000015262D6E9E0>,62,0.1020209789276123,62,0.00020766258239746094,62.0,0.016815185546875,0.5776403858198904,0.3250759025907586,48.2402693862043,0.11337065696716309,33.049072265625,62.0,,0.2813537120819092,0.39472436904907227,4096.0,,,,,,4,
12,<lib.graphlib.GraphLib object at 0x0000015222ECCAA0>,144,0.1268622875213623,105,0.000194549560546875,144.0,0.1469261646270752,0.6038006390775471,0.3653796506176053,104.97719602378251,0.1512312889099121,87.319580078125,144.0,,0.3525674343109131,0.5037987232208252,4096.0,"<RuntimeJobV2('d45sc7t63mfc73a7dd00', 'sampler')>",2.4768943786621094,2.08767,108,4.5645643786621095,0,10.192661056098864
12,<lib.graphlib.GraphLib object at 0x000001525F25A080>,157,0.09170317649841309,101,0.00025653839111328125,157.0,0.1254124641418457,0.5630105661610973,0.35543673882505716,119.61554315470723,0.13814473152160645,93.79541015625,156.0,,0.37004828453063965,0.5081930160522461,4096.0,,,,,,1,
12,<lib.graphlib.GraphLib object at 0x0000015255ED2F80>,197,0.09671783447265625,114,0.00020074844360351562,197.0,0.1788928508758545,0.4987661673328851,0.3560486488967254,141.89057914893624,0.1532607078552246,115.322998046875,197.0,,0.40630388259887695,0.5595645904541016,4096.0,,,,,,2,
12,<lib.graphlib.GraphLib object at 0x00000152594D0AA0>,218,0.10303163528442383,137,0.00019669532775878906,223.0,0.1698746681213379,0.47604510665209215,0.3326936150736083,159.70463324051346,0.3268551826477051,130.616943359375,223.0,,0.43700170516967773,0.7638568878173828,4096.0,,,,,,3,
12,<lib.graphlib.GraphLib object at 0x00000152594D0B90>,178,0.11435580253601074,130,0.0002460479736328125,178.0,0.13434505462646484,0.5637013750087285,0.3670713370194681,137.7223794113062,0.15324807167053223,106.942626953125,177.0,,0.5236508846282959,0.6768989562988281,4096.0,,,,,,4,
15,<lib.graphlib.GraphLib object at 0x000001524B6E4190>,281,0.14626455307006836,233,0.0004858970642089844,287.0,1.6055667400360107,0.47435910727766706,0.3578128070991733,227.83973844336836,0.21254372596740723,182.472900390625,287.0,,0.5349860191345215,0.7475297451019287,4096.0,"<RuntimeJobV2('d45scc563mfc73a7dd4g', 'sampler')>",8.771397829055786,2.033523,191,10.804920829055787,0,11.788397259497184
15,<lib.graphlib.GraphLib object at 0x0000015262BF2940>,267,0.2783701419830322,179,0.0014505386352539062,280.0,4.384206056594849,0.4745646174701834,0.3440852621025445,210.11447157487265,0.6918637752532959,166.45166015625,267.0,,0.9678349494934082,1.659698724746704,4096.0,,,,,,1,
15,<lib.graphlib.GraphLib object at 0x0000015249134820>,332,0.29195713996887207,248,0.0008990764617919922,332.0,3.716768980026245,0.42278106056727327,0.322995383490381,248.31361163465374,0.4075956344604492,208.272216796875,316.0,,0.7958979606628418,1.203493595123291,4096.0,,,,,,2,
15,<lib.graphlib.GraphLib object at 0x000001524B6F6710>,228,0.20443272590637207,154,0.001986265182495117,237.0,2.7587523460388184,0.5076781989897551,0.3449408976788052,178.48635540277985,0.33568310737609863,138.9931640625,224.0,,0.7495956420898438,1.0852787494659424,4096.0,,,,,,3,
15,<lib.graphlib.GraphLib object at 0x0000015255A80C80>,240,0.17181730270385742,159,0.00021004676818847656,242.0,1.7926204204559326,0.5153655244570853,0.3465851270743995,197.0420223249607,0.2292189598083496,164.361083984375,240.0,,0.569995641708374,0.7992146015167236,4096.0,,,,,,4,
18,<lib.graphlib.GraphLib object at 0x0000015222ECD810>,309,0.17364835739135742,187,0.0009162425994873047,328.0,23.560771703720093,0.44507279748763307,0.33887834409488343,241.3696619271687,0.3289473056793213,202.971923828125,317.0,,0.7487640380859375,1.0777113437652588,4096.0,"<RuntimeJobV2('d45sco9me48c73d7iggg', 'sampler')>",2.414024829864502,2.044389,165,4.458413829864502,0,11.96642827758683
18,<lib.graphlib.GraphLib object at 0x00000152641A66C0>,419,0.1699674129486084,340,0.0003962516784667969,486.0,21.898555755615234,0.40727859714755754,0.33859914187597784,342.5798524604219,0.4984447956085205,283.396240234375,429.0,,0.9665999412536621,1.4650447368621826,4096.0,,,,,,1,
18,<lib.graphlib.GraphLib object at 0x0000015255845770>,291,0.1644129753112793,235,0.0011355876922607422,305.0,19.992345571517944,0.4884297285576056,0.36126735644359603,236.0912174562884,0.28559422492980957,187.5712890625,298.0,,1.4125382900238037,1.6981325149536133,4096.0,,,,,,2,
18,<lib.graphlib.GraphLib object at 0x0000015225F8D9A0>,341,0.19316744804382324,268,0.0005030632019042969,353.0,21.14116644859314,0.4438982013065668,0.34515602291107683,272.2002804098503,0.34417128562927246,219.2900390625,340.0,,0.7980241775512695,1.142195463180542,4096.0,,,,,,3,
18,<lib.graphlib.GraphLib object at 0x000001526416AA30>,321,0.1841726303100586,296,0.0010645389556884766,340.0,19.32900905609131,0.4654480902598535,0.348176539414527,253.43452810919567,0.313831090927124,200.82275390625,319.0,,0.7957282066345215,1.1095592975616455,4096.0,,,,,,4,
21,<lib.graphlib.GraphLib object at 0x00000152641A4B40>,490,0.21207976341247559,405,0.0007951259613037109,,,0.39357839109590387,0.32607550972284294,412.6526883218722,0.48195886611938477,350.596435546875,493.0,,1.8232767581939697,2.3052356243133545,4096.0,"<RuntimeJobV2('d45sdghme48c73d7ih70', 'sampler')>",3.628485679626465,2.106526,390,5.735011679626465,0,11.995117187499996
21,<lib.graphlib.GraphLib object at 0x00000152640F66C0>,501,0.17162179946899414,468,0.0009737014770507812,,,0.38661113508893213,0.3317599547836683,427.5003744823079,0.428666353225708,364.14794921875,512.0,,2.0861496925354004,2.5148160457611084,4096.0,,,,,,1,
21,<lib.graphlib.GraphLib object at 0x00000152490E6E90>,464,0.24527788162231445,358,0.0011408329010009766,,,0.3948314779695047,0.3401334744100167,376.40902151794376,0.43358659744262695,311.04736328125,465.0,,1.8718674182891846,2.3054540157318115,4096.0,,,,,,2,
